LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,target
490000,2,2,1,30,0,0,0,0,0,0,195330,200768,206026,203938,198453,200496,8683,10021,8017,16270,6599,6024,1
50000,1,3,2,26,0,0,0,0,0,0,49006,48814,49180,44941,20056,19783,2000,2000,2005,700,856,1000,1
160000,2,2,1,27,-1,0,0,0,0,0,86772,71275,54769,39137,26971,3426,2805,1487,958,539,1000,390,1
90000,2,1,2,29,-2,-2,-2,-2,-2,-2,-240,-240,-240,-240,-240,-240,0,0,0,0,0,0,1
10000,1,2,1,50,0,0,0,0,0,-1,3664,4526,6880,8830,5550,6195,1300,3000,2509,0,6195,0,1
280000,2,2,1,26,0,0,0,0,0,0,256455,245712,231025,182159,80747,51689,8354,5501,4293,2079,1892,20012,1
30000,1,2,1,48,0,0,0,0,0,0,26846,27879,28870,27806,25142,25667,1783,1774,1710,1046,1079,1089,1
110000,1,2,1,46,0,0,0,0,2,0,44953,47315,46997,50740,49115,49529,3087,1769,4512,0,1930,1601,0
150000,2,1,2,25,0,0,0,2,0,0,78823,80514,87096,84806,85822,87504,3000,7900,0,3300,3200,3300,1
30000,2,3,1,47,0,0,0,0,0,0,15979,17705,19107,20281,20941,21799,2000,2000,1500,1000,1200,2000,1
210000,2,2,1,25,0,0,0,0,0,0,7788,8801,9825,10838,12652,13060,1149,1173,1186,2000,1000,1000,1
360000,2,1,1,41,0,0,0,0,0,0,250180,141206,64277,32727,13004,0,4428,2017,305,1240,0,0,1
320000,2,2,2,36,0,0,0,0,0,0,262613,164486,169691,188527,145676,135254,10043,15005,21640,5004,11628,20020,1
130000,2,1,2,30,2,0,0,2,0,0,112822,115526,123658,120259,121205,124778,4527,10122,1,4355,8918,0,0
170000,2,1,1,45,0,0,0,0,0,0,165243,156688,151405,127090,126388,126399,7067,6443,4617,4711,4673,4603,1
230000,2,2,1,37,0,0,0,0,-1,0,53327,52513,43726,22738,29019,20328,1973,1890,1595,29019,567,506,1
280000,2,2,1,42,-2,-2,-2,-2,-2,-2,396,396,396,396,10948,61123,396,396,396,10948,61123,54802,1
50000,1,2,2,23,0,0,0,-1,0,0,51274,50474,49724,48437,18712,19129,4175,41000,51705,700,718,700,1
470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,1
50000,2,1,2,28,-1,2,2,2,0,0,4917,4693,6945,6651,4060,4060,0,2500,0,1000,0,0,1
30000,1,3,1,51,0,0,0,0,0,-2,13386,13218,14453,15525,0,0,1218,1453,1525,0,0,0,1
120000,1,3,1,39,-1,-1,-1,-1,-1,-1,326,326,326,326,326,326,326,326,326,326,326,326,1
20000,1,2,2,26,1,2,2,2,0,0,16167,15615,18047,17322,17122,0,0,3000,0,0,0,0,1
170000,1,3,1,39,0,0,0,0,0,0,54397,55501,56823,56269,48558,45690,2009,2239,2067,1594,1576,1503,1
500000,2,2,2,31,0,0,0,0,0,0,43818,45021,49283,66144,75191,80619,5000,5040,17604,10000,10000,10200,1
270000,2,2,1,30,0,0,0,0,0,0,62599,59368,57856,49804,47310,42812,5000,5000,5000,5000,5240,5000,1
120000,2,1,2,26,1,-1,-1,-1,-1,-2,-93,936,0,680,0,0,1029,0,680,0,0,1381,1
20000,1,2,1,38,-1,0,0,0,0,0,18669,19304,19905,20302,20133,20000,1326,1317,714,925,400,0,1
230000,2,3,2,25,0,0,0,0,-1,-1,26214,26504,20010,0,104160,0,2000,1067,0,104160,0,0,1
130000,1,2,1,38,0,0,0,0,0,0,123044,122981,102151,90917,92729,93359,4949,4000,3250,3231,3324,3242,1
30000,2,3,2,47,2,2,2,0,0,2,11652,12461,11970,12981,14077,14367,1300,0,1214,1310,660,0,0
140000,1,2,2,61,0,0,0,0,0,0,131978,135760,127508,92126,69050,73537,6000,3600,2500,5000,5000,5000,1
290000,2,2,2,34,0,0,0,0,0,0,58481,41773,40597,38441,37454,35484,2000,2000,2000,2000,2000,2000,1
180000,1,1,2,38,1,-2,-2,-2,-2,-2,3999,2183,5828,0,2165,645,2183,5828,0,2165,645,4390,1
420000,1,1,2,31,-2,-2,-2,-2,-2,-2,1569,563,1914,1189,1208,4964,565,1923,1194,1214,4988,296,1
30000,1,2,2,25,2,2,2,2,2,2,14420,15390,14846,16098,15700,16784,1500,0,1500,0,1500,0,0
50000,1,2,1,43,0,0,0,0,0,0,27681,28287,28924,29521,29876,30201,1458,1485,1472,1217,1347,558,1
150000,2,1,1,35,-2,-2,-2,-2,-1,-1,329,-31,3189,0,150,880,0,3220,0,150,880,0,1
90000,1,3,1,55,0,0,0,0,0,0,30789,31791,32827,33877,35311,36738,1514,1550,1600,2000,2000,2500,1
70000,2,1,2,31,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0
230000,2,2,2,34,-1,-1,-1,-1,-1,-1,316,316,316,316,316,466,316,316,316,316,466,466,1
80000,2,1,2,23,0,0,0,0,0,-1,53261,38091,19744,14556,0,1460,4500,2011,3105,0,1460,0,1
190000,1,3,1,49,2,2,2,2,2,2,178367,179062,177663,180312,185910,191895,5000,3000,7100,8700,9300,9500,0
350000,2,1,2,33,0,0,-1,-1,0,0,14118,4278,8621,970,1345,2267,3922,8621,970,1000,1917,454,1
130000,1,2,1,49,0,0,0,0,-1,-1,24008,21231,14323,7722,4689,-3614,3000,5000,2822,5000,0,6500,1
200000,1,2,2,27,-1,-1,-1,-1,-1,-1,1990,2035,1577,2424,671,1606,2035,1577,2424,671,1606,27124,0
30000,2,2,2,25,-1,-1,0,0,0,0,415,150,150,150,150,150,150,0,0,0,0,0,1
50000,2,1,2,25,-1,-1,-1,-1,-1,-1,2058,287,3423,0,3198,0,287,3423,0,3198,0,0,1
230000,1,2,2,31,0,0,0,0,0,0,14529,16597,18968,21435,27151,26815,5500,3000,4000,8000,4000,5000,0
230000,1,2,1,34,0,0,0,0,0,0,131887,133440,134272,136281,138687,118873,5005,5007,5000,5008,5000,4005,1
30000,2,1,2,24,-2,-2,-2,-2,-2,-2,0,0,0,745,0,0,0,0,745,0,0,930,1
240000,2,2,1,39,-1,-1,-1,0,0,0,9000,2831,68105,95615,123931,151559,2831,68116,30800,30000,30000,10000,1
480000,1,1,2,33,1,-2,-2,-2,-2,-2,-897,-897,-897,-897,-897,-897,0,0,0,0,0,0,1
70000,2,2,1,27,1,2,0,0,2,2,48098,47922,51806,55625,57072,58269,881,4700,4700,2500,2300,2300,0
30000,2,3,1,56,0,0,2,2,0,0,16088,24800,25098,24396,24907,25555,9000,1000,0,903,1061,942,1
50000,2,2,2,44,0,0,0,0,-1,-1,49006,49139,47608,3990,390,0,2000,1000,3600,390,0,4870,1
100000,2,1,2,25,-1,-1,-1,-1,0,0,12660,5000,0,6272,10135,11958,5000,0,6272,4000,2000,0,1
20000,2,2,2,21,-1,-1,2,2,-1,-1,18763,14410,13771,362,5308,0,14410,0,28,22073,0,0,1
20000,1,2,2,23,0,0,0,0,0,0,17728,18835,38099,18471,16408,17135,1700,1262,1244,595,1000,1000,1
370000,2,3,2,27,0,0,0,0,0,0,63412,159542,160885,162368,165591,121614,100000,6000,6000,8000,4500,3000,1
150000,2,1,1,36,0,0,0,0,0,0,38298,39292,40357,41284,42105,43146,1635,1700,1600,1507,1719,2000,1
20000,1,2,1,56,0,0,0,0,0,0,17768,18378,19077,19467,19155,19098,1600,1689,1469,547,500,547,1
90000,2,3,1,37,0,0,0,0,0,0,91193,91078,86785,79894,50546,34427,7006,5026,7031,6000,1345,1500,1
30000,1,3,1,48,0,0,0,0,0,0,29434,28960,29022,29201,29553,29693,1465,2000,1033,1200,1055,530,1
50000,1,2,2,27,0,0,0,0,0,0,6105,7347,8000,8000,10000,0,1500,1000,0,2000,0,2556,1
220000,2,2,1,34,-1,-1,-1,-1,-1,-1,3410,1619,1756,1986,4772,1115,1623,1756,2075,4774,1115,7160,1
200000,2,1,1,28,-1,-1,-1,-1,-1,-1,1878,576,4251,1358,300,0,576,4251,1358,300,8909,5670,1
160000,2,2,2,50,-2,-2,-2,-2,-2,-2,3,3,3,3,13333,0,13333,13333,13333,26663,0,11913,1
170000,1,2,2,27,0,0,0,0,0,0,21958,22572,14549,10849,12509,64218,1300,2000,1000,2000,52292,2200,1
390000,2,2,1,45,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,3971,0
250000,2,2,2,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,1,1,2,34,0,0,0,0,0,0,83255,83912,85161,85715,86773,87526,4000,3924,3200,3300,3425,3013,1
30000,1,1,2,26,0,0,-1,-1,-1,-1,27172,27000,780,0,30525,0,1000,780,0,30525,0,0,1
60000,2,3,2,40,0,0,0,0,0,0,35602,35911,36246,29831,29667,30062,1654,1762,1044,1065,1266,979,1
90000,2,2,2,24,0,0,0,0,0,2,12750,15359,16404,17424,18925,18483,3155,1600,1600,2100,0,1500,1
250000,2,2,1,33,3,2,2,-2,-2,-2,2500,2500,0,0,0,0,0,0,0,0,0,0,0
20000,1,2,1,38,0,0,0,0,2,0,6715,7736,8745,9394,9101,9282,1287,1296,945,0,481,829,1
50000,1,3,1,44,0,0,0,0,0,0,19951,17221,15816,13983,13638,10657,1282,1253,1170,535,387,405,1
150000,2,1,1,36,-2,-2,-2,-2,-2,-2,14843,14528,11317,14037,12030,10738,14528,11322,14042,12030,10738,322,1
350000,2,1,1,41,-2,-2,-2,-2,-2,-2,5037,14994,3101,17321,-22,4443,15069,3116,17414,0,4465,9434,1
20000,1,3,1,53,3,4,3,2,3,2,15507,14974,14449,15116,14582,14206,0,0,1200,0,0,2230,0
400000,1,1,1,32,2,2,0,0,-2,-2,187698,190103,195498,0,0,0,7000,10000,0,0,0,4290,0
10000,1,3,2,34,0,0,0,0,0,0,7165,8647,9247,9431,8843,9075,2000,1141,325,331,389,1000,1
220000,1,1,1,33,-1,-1,-1,-1,-1,-1,586,-64,942,5378,126,3419,0,1006,6031,1003,4003,16,1
30000,1,2,2,30,0,-1,0,0,0,0,30210,27826,28672,29622,30271,24536,28000,1600,1500,1000,1000,1000,0
30000,2,2,2,25,0,0,0,0,0,0,24458,29022,28230,22204,21954,22606,5000,1518,529,535,750,347,1
30000,1,1,2,30,0,0,0,0,0,0,26061,27104,28076,25991,25429,26234,1780,1752,1666,800,1161,3128,1
420000,2,1,2,29,0,0,0,0,0,0,105582,97913,75353,78322,77048,23007,23004,20002,7096,20261,3068,10009,1
60000,1,3,2,31,2,2,2,2,0,0,31649,30841,34336,33489,35615,38027,0,4000,0,3000,3000,2000,0
260000,1,2,1,42,3,3,2,2,0,0,215521,210695,213758,208821,213083,217340,0,8000,0,7800,7800,8300,0
50000,2,1,2,27,0,0,0,0,0,0,39607,40399,36712,33485,37712,40065,5014,5000,5000,5000,5000,5000,1
200000,1,2,1,43,2,3,2,2,2,2,94529,92126,94772,92368,101837,103764,0,5000,0,12000,3700,0,0
210000,2,2,1,35,0,0,0,0,0,0,37148,35754,34232,32331,30337,28012,2000,2000,2444,1342,1038,2000,1
50000,1,3,1,37,-1,-1,2,2,-1,-1,3057,3427,3207,0,1250,5245,3000,0,0,1250,5245,0,0
10000,2,2,1,40,1,-1,0,0,0,0,0,1912,3071,4012,9882,5857,1912,1200,1000,1000,1000,0,1
380000,1,1,1,52,1,-1,-1,-1,-1,-2,0,2879,1395,3261,0,0,742,1395,3261,0,0,0,1
350000,2,1,2,33,-1,-1,-1,-1,0,-1,2383,9911,12149,14774,2154,67081,9911,12149,16928,0,67081,103202,1
170000,2,1,2,40,0,0,0,0,0,0,15442,16869,21014,18517,9058,5035,2000,5020,2000,3000,1000,464,1
610000,1,2,1,30,0,0,0,0,0,0,50724,8723,6245,7089,8059,8666,2134,1210,2000,2000,1666,1500,1
150000,1,1,2,28,0,0,0,0,0,0,28416,37392,44547,52871,57877,64020,10000,10008,10012,10002,8006,7005,1
50000,1,2,1,46,0,0,0,0,0,0,48885,48793,34440,30889,30182,29912,2000,2500,2000,1500,5000,1500,1
150000,1,1,2,33,0,0,0,0,0,0,45335,50262,54793,59244,64096,68837,6000,6000,6000,6000,6001,6000,1
360000,2,1,2,35,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,597,0,0,0,0,600,590,1
10000,1,1,2,24,0,0,2,0,0,0,7680,10160,9844,9554,9515,9700,2616,0,400,499,500,900,0
50000,2,2,2,22,2,2,2,3,2,2,19091,18487,22219,21520,20108,18207,0,4042,0,648,0,921,1
20000,1,3,1,52,0,0,3,2,0,0,16049,19967,19368,18759,19131,19533,4519,0,0,683,709,1027,0
100000,2,2,1,28,0,0,0,0,0,0,95251,98226,98295,100406,100430,101392,5401,3576,3754,3806,3796,4000,1
320000,1,2,1,33,0,0,0,0,0,0,254065,136709,81130,103543,105623,107549,68000,12000,25000,3208,4031,94390,1
120000,1,1,2,34,1,2,2,-1,-1,-1,650,625,300,475,300,325,300,0,500,300,500,300,0
170000,1,3,1,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
40000,2,2,2,33,-1,-1,-1,2,-1,-1,1860,1979,4167,1979,1979,1979,2279,4167,0,1979,1979,1775,1
380000,1,1,2,33,0,0,0,0,0,0,70591,76715,80080,81162,89571,96627,10000,5000,5000,10000,10000,10000,1
50000,1,2,1,42,0,0,0,0,0,-1,46100,46949,18755,11112,11374,5919,2133,1058,2000,2043,5919,16346,0
250000,2,1,1,50,-2,-2,-1,-1,-1,-2,18381,2749,5285,9138,1187,1235,2749,5674,9527,1187,1235,2678,1
260000,2,2,1,35,-2,-2,-2,-2,-2,-2,3439,10034,256,274,388,766,10127,258,274,388,766,1185,1
170000,2,2,2,56,-1,-1,-1,-1,-1,-1,4767,0,451,0,424,1482,0,451,0,424,1482,688,0
230000,2,1,1,34,-1,-1,0,0,-1,-1,3394,8338,11744,9359,19002,8443,8338,9359,0,19002,8740,0,1
80000,1,2,2,34,2,2,2,2,2,2,72557,77708,79384,77519,82607,81158,7000,3500,0,7000,0,4000,0
20000,1,2,1,50,1,2,0,0,2,0,1065,675,1285,1895,1340,950,0,1000,1000,0,0,450,0
180000,2,2,2,25,0,0,0,-2,-1,0,11393,2963,0,0,351,1351,2000,0,0,351,1000,0,1
220000,2,1,2,45,-1,-1,-1,-1,-1,-1,4624,2874,1210,632,15243,5471,2888,1216,640,15251,5472,4045,1
50000,1,2,2,42,-1,0,0,0,0,0,47612,97918,49376,19693,19677,19657,2113,1949,685,700,712,674,1
180000,2,1,2,33,-2,-2,-2,-2,-2,-2,8492,5199,9973,10069,13190,20127,5199,9973,10083,13279,20127,9422,1
170000,2,2,1,42,0,0,0,0,-2,-2,52262,36518,20533,-919,-919,-919,1985,1000,16000,16000,16000,24288,1
30000,2,2,1,29,0,0,0,0,0,0,15455,6570,11000,12460,28778,24244,2000,5000,2000,17000,1500,2000,1
270000,2,3,1,41,0,0,0,0,0,0,48872,43688,35638,41704,43869,45160,3688,2638,6704,2869,2000,1686,1
150000,1,1,2,29,-2,-2,-2,-2,-2,-2,4583,6917,831,6469,5138,7810,6989,833,6488,5153,7833,7130,1
280000,2,2,1,50,2,2,2,2,0,0,106341,108711,111510,108253,109065,111447,5600,6000,0,4100,4300,4300,0
250000,1,1,2,29,0,0,0,0,0,0,124442,93302,92934,94002,92826,88001,5000,5000,3500,4000,4000,5000,1
70000,2,2,2,34,2,2,2,0,0,2,64913,63387,58840,56431,56859,54449,3000,0,2000,4219,1700,323,1
150000,2,1,2,26,0,0,0,0,0,0,136736,125651,116684,101581,77741,77264,4486,4235,3161,2647,2669,2669,1
50000,2,3,1,61,2,0,0,0,2,0,5016,6065,6985,6354,4908,3724,1135,1055,656,0,133,50,1
200000,2,3,2,29,-1,-1,-1,-1,-1,-1,326,326,326,326,326,326,326,326,326,326,326,326,1
130000,1,2,1,44,0,0,0,-1,-1,-2,139892,131365,9910,12909,0,0,6179,1969,131000,0,0,1700,0
190000,2,2,2,26,-1,-1,-1,-1,-1,-1,11613,10000,10000,10000,10000,10941,10000,10000,10000,10000,10941,79027,1
70000,2,3,1,39,0,0,0,0,0,2,124493,125680,129498,131216,136744,133413,4800,5900,6000,9200,0,4859,1
180000,1,1,2,29,1,-1,-1,-1,-1,-1,0,100000,0,7632,0,6071,100000,0,7632,0,6071,0,1
50000,1,2,2,24,0,0,-1,-1,0,0,14937,12171,3847,11117,6479,6187,3027,3858,11139,3009,3016,3008,1
460000,2,1,2,34,1,-2,-2,-2,-2,-2,-258,-258,-258,1209,703,990,0,0,1467,703,990,3200,1
30000,1,2,1,49,0,0,0,0,0,0,29707,28853,30107,29923,29472,27729,2000,3000,4000,2000,4000,2000,1
180000,2,1,2,31,-1,-1,-1,-1,-1,-1,3920,1020,0,860,13335,15248,1020,0,860,13335,15248,17676,1
220000,1,1,2,39,3,2,0,0,0,2,184140,187089,189680,193561,205161,205477,7500,7100,7203,15000,3500,4500,0
290000,2,1,2,29,0,0,0,0,0,0,10370,5681,7124,8038,4029,6059,1400,1507,2580,2050,2030,0,1
20000,2,2,2,23,0,0,0,0,0,-1,17772,19058,19681,19507,14656,756,1877,1500,500,0,756,23750,1
210000,2,2,1,42,-1,-1,-1,-2,-1,-1,1708,2928,-2,-2,918,-164,2928,0,0,920,0,0,1
410000,2,2,1,41,0,0,0,0,0,0,354506,363666,369776,368779,369358,368043,14600,15500,14000,13580,14000,19000,0
220000,2,2,1,32,-2,-2,-2,-2,-2,-1,183718,172250,175771,180794,184650,167856,6243,6376,7942,8270,170000,6002,0
50000,1,1,2,32,0,0,0,2,0,0,13185,5070,6815,6068,7798,8511,1255,2000,0,2000,1000,500,1
30000,2,1,2,27,0,0,-1,0,0,-2,1512,2458,664,1814,0,0,1000,664,1500,0,0,0,1
180000,2,2,2,31,0,0,0,-1,-1,-1,6903,11489,5488,1635,1680,782,8000,3003,1635,1680,782,4374,1
10000,2,2,1,25,0,0,0,0,0,2,6991,8008,9018,9198,9896,9703,1126,1136,316,833,100,292,1
400000,1,1,1,38,1,2,2,2,-1,0,36838,26214,16199,3320,111353,103569,65,3383,20,112679,3699,3567,1
20000,1,1,2,23,1,-2,-2,-2,-2,-2,-348,-738,-738,-1518,-1518,-1518,0,0,0,0,0,0,0
50000,1,2,2,21,0,0,0,0,0,0,21023,27270,11342,8305,7288,0,3000,1000,0,0,0,0,1
20000,2,3,1,26,0,0,0,2,0,0,15271,16707,20601,19952,19586,18528,2000,4500,0,671,700,2000,0
200000,2,3,1,41,0,0,0,0,-2,-2,98184,103228,119034,0,0,0,5143,19034,0,0,0,0,1
150000,2,5,1,45,0,0,0,0,0,0,232587,259740,241615,139741,144692,124197,30032,25099,80000,120000,95000,30000,1
160000,2,1,2,26,-1,0,0,0,0,-2,157453,155081,137027,70845,0,0,5937,5000,1417,0,0,0,1
260000,2,1,1,36,-1,-1,-1,-1,-1,-1,416,416,416,3541,416,416,416,416,3541,416,416,1644,1
30000,2,1,2,25,2,2,2,2,2,2,7593,9634,4476,8830,8153,6422,2379,7,7002,13,155,1,1
280000,1,2,1,25,-1,-1,0,0,0,0,3863,84601,67765,63628,60860,60316,89295,2192,1899,1673,2125,1511,1
180000,2,1,1,44,-1,-1,-1,-1,-1,-1,1210,1071,6554,0,21398,298,1071,6557,0,21398,298,0,1
500000,1,1,1,46,-1,-1,-1,-1,-1,-2,991,4073,6738,2500,0,0,4082,6738,2510,0,0,1000,1
170000,2,2,2,27,0,0,0,0,0,0,80848,83678,28461,13263,3637,4814,8000,2000,1000,1000,2000,1000,1
60000,2,2,2,25,0,0,0,0,0,0,36081,37194,38116,39902,58737,56902,2500,2000,3000,20000,3000,2000,1
80000,2,3,1,41,0,0,0,0,0,0,54074,50967,29143,33520,19060,14275,10000,10000,5000,3000,3000,5000,1
20000,1,2,2,37,0,0,0,-2,-1,0,7440,15960,0,-1953,5985,6893,10050,0,18047,7985,1000,2000,1
100000,1,2,1,47,1,2,0,0,0,0,99823,96932,96924,96122,97432,95062,0,3579,3472,3287,3590,10179,1
310000,2,1,2,28,0,0,0,0,0,0,8193,43012,36780,31372,17308,35943,43003,2107,1246,346,30000,53000,1
130000,2,2,2,25,2,-1,-1,-1,-1,-1,836,668,1017,1298,550,-286,668,1200,1300,964,1698,60549,0
50000,2,2,1,34,2,2,2,2,2,2,43664,44654,45650,46320,45290,48322,2000,2000,1700,0,3760,1700,1
60000,2,3,2,47,-1,-1,-1,-1,-1,-1,696,696,696,696,696,696,696,696,696,696,696,380,0
230000,2,1,2,28,-1,-1,0,0,0,0,2403,7357,9752,12608,10797,20539,7357,2566,3000,1000,10000,2000,1
30000,2,1,2,25,0,0,2,0,0,2,19801,20449,19798,20217,21435,19239,3000,0,700,1500,0,323,1
230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,1024,0,0,0,0,1024,0,0,0,0,1
70000,2,2,2,30,0,0,0,2,0,0,10149,11454,9638,8761,8572,9274,2000,2000,0,1000,1000,4000,1
270000,2,1,1,40,-1,-1,-1,-1,-1,-1,19769,34813,43852,29677,33341,28413,34813,43856,29682,33341,28413,1351,1
100000,2,1,3,47,0,0,0,0,0,0,43175,42669,42238,41646,40976,40503,1680,1722,1603,1406,1598,1502,1
250000,2,1,2,31,0,0,0,0,0,0,67492,67875,67448,68165,68787,70111,3500,2658,3000,4000,3000,2500,1
80000,1,2,2,28,0,0,0,0,0,0,49302,35916,25528,26034,26615,28173,1412,1425,931,1000,2000,2000,1
340000,2,1,2,50,1,-2,-2,-2,-2,-2,2728,15650,11550,11058,6912,4125,15650,11554,11058,6917,4125,4850,1
150000,1,1,1,43,-2,-2,-2,-2,-1,-1,1000,0,0,1522,5014,1000,0,0,1522,5014,1406,0,1
80000,2,3,1,25,0,-1,-1,-1,-1,-1,3525,1504,0,2332,4320,0,1654,0,2332,4320,0,0,0
500000,2,1,1,54,-1,-1,-1,-1,0,0,6259,2937,10410,30016,8014,2630,2962,10457,30026,26,13,2283,0
50000,2,3,1,41,0,0,0,0,-1,0,46857,48080,49705,51400,16087,16827,2000,2400,3000,16087,1000,800,1
130000,1,1,2,27,0,0,0,0,0,0,69353,49878,30242,31239,31893,32549,2139,1503,1500,1157,1186,5000,1
90000,1,2,1,31,0,0,2,0,0,0,77107,93894,91508,86167,49479,50704,20000,0,3752,1726,2003,2000,1
240000,2,2,2,25,0,0,0,0,0,0,175764,178600,182639,186275,190337,193961,6500,7000,6680,7070,6954,14870,1
100000,2,2,2,23,0,0,0,0,0,0,8002,7954,9777,10026,9657,9279,2000,2000,1000,504,1000,2000,1
50000,2,1,2,35,0,0,0,0,0,0,4309,10834,15251,12159,9581,15222,7000,8000,9400,1000,6000,3000,1
50000,2,1,2,23,-1,-1,-1,0,-1,-1,1300,628,4050,3050,1243,865,628,4050,0,1243,865,3000,1
50000,1,2,2,26,1,2,0,0,2,2,16412,15851,16889,19909,19291,20675,0,1294,3314,0,1700,0,1
290000,2,1,1,38,1,-1,0,0,0,-1,0,7023,9680,7860,7860,8142,7023,5000,3000,0,8142,0,1
500000,1,1,2,30,0,0,0,0,0,0,416171,437749,460317,472621,484993,496915,30000,30000,20000,20000,20000,70152,1
30000,2,2,1,26,2,2,2,2,2,2,30954,30670,29856,30584,27883,29334,2074,0,2304,0,2400,0,1
380000,1,2,2,34,0,0,0,0,0,0,194314,179206,193992,174675,171253,169121,9010,35000,5000,6000,5000,4400,1
130000,2,3,2,35,0,0,0,0,0,0,3929,4857,5771,8659,10503,11329,1000,1000,3000,2000,1000,1000,1
