income,credit_score,debt_to_income,loan_amount,employment_years,existing_debts,age,housing_status,loan_purpose,gender,target
69814.03,663.8,72.39,9111.05,6.6,2,56.4,rent,debt_consolidation,female,0
30783.78,814.2,11.91,30169.72,6.0,3,44.0,rent,auto,male,1
40300.55,589.4,28.54,18664.65,1.1,1,21.2,own,debt_consolidation,male,0
37061.82,587.0,51.43,23335.05,12.8,2,42.4,mortgage,education,male,0
42769.77,605.0,15.65,17225.72,3.3,0,18.0,rent,auto,male,1
66511.86,490.7,26.06,14281.36,1.1,3,45.5,rent,auto,male,0
82523.79,610.6,13.98,17620.83,0.1,1,48.6,mortgage,education,female,1
54922.94,593.1,38.81,23500.57,4.9,3,30.9,mortgage,debt_consolidation,male,0
34071.72,661.3,46.42,21373.15,4.5,3,39.5,mortgage,auto,male,0
45897.01,675.6,12.85,36298.01,7.6,1,61.4,mortgage,debt_consolidation,male,1
89283.92,790.7,5.52,7220.44,13.3,3,31.9,rent,auto,male,1
48572.47,721.3,5.0,7995.42,0.5,0,25.3,own,home_improvement,male,1
40500.8,606.7,15.92,18529.67,7.9,1,55.8,own,auto,female,1
42080.25,582.6,26.67,29217.59,1.2,0,61.6,rent,education,male,0
54814.09,686.9,52.97,32867.12,11.7,2,38.0,own,education,male,0
31289.47,551.0,30.71,14653.37,10.3,1,50.1,own,debt_consolidation,male,0
36645.02,787.4,25.05,2230.56,4.7,4,54.1,rent,auto,male,1
69366.33,738.5,40.36,14963.34,7.4,3,29.1,mortgage,debt_consolidation,male,1
54134.85,614.8,36.96,26872.11,2.3,1,32.2,own,debt_consolidation,female,0
48795.35,521.5,22.08,21133.95,3.8,1,52.8,mortgage,home_improvement,female,0
70875.19,751.5,9.07,29831.31,10.3,4,58.2,rent,home_improvement,female,1
33084.19,641.4,42.63,41094.22,3.7,1,44.8,rent,education,male,0
39940.2,742.8,30.77,19328.61,2.7,1,27.4,own,debt_consolidation,male,1
53360.34,530.4,8.69,16050.51,4.1,1,61.8,rent,education,male,1
52536.32,605.0,31.99,11736.3,10.6,3,31.6,own,auto,female,1
22282.63,650.4,17.25,7961.36,2.4,1,34.0,mortgage,debt_consolidation,female,1
38156.74,653.5,52.36,6434.48,1.1,2,42.1,rent,debt_consolidation,male,0
43268.49,616.2,14.41,13732.01,7.5,5,56.6,own,auto,male,0
55950.66,696.7,43.69,38006.37,10.5,1,48.2,own,auto,male,1
52454.43,569.9,56.2,31471.81,0.6,2,43.0,rent,education,female,0
45076.85,639.3,20.39,15573.03,1.6,5,43.6,mortgage,education,female,0
16277.59,659.0,26.53,63748.61,0.9,1,38.5,mortgage,auto,male,0
46096.24,688.6,34.3,14358.36,2.6,4,44.7,own,education,male,0
47979.92,703.4,30.82,43258.19,3.6,4,18.0,own,auto,female,0
122666.43,565.7,7.85,48925.85,8.3,1,34.4,own,debt_consolidation,male,1
42633.32,534.9,20.42,27924.24,6.3,2,40.9,mortgage,debt_consolidation,male,0
53488.64,745.8,46.76,13648.01,5.8,3,24.2,own,home_improvement,male,1
75963.84,674.9,22.44,16907.84,2.6,6,42.6,own,debt_consolidation,female,1
64867.84,593.9,56.43,23838.08,11.1,0,35.5,mortgage,auto,male,0
84003.2,766.3,45.84,8130.31,3.8,4,59.1,rent,education,male,1
22461.52,658.7,22.87,10991.22,23.2,3,56.9,mortgage,home_improvement,female,1
28372.55,738.4,19.42,10371.08,6.0,1,32.4,rent,education,male,1
35471.08,655.1,11.4,29140.17,0.8,4,36.2,rent,auto,male,0
20544.43,804.6,11.89,40874.82,6.8,1,37.1,rent,debt_consolidation,male,1
48163.52,781.7,22.43,32171.51,2.4,2,32.6,mortgage,home_improvement,male,1
29489.38,631.3,17.48,37170.58,7.0,1,40.3,mortgage,auto,female,0
88795.1,722.9,23.81,12895.26,0.4,4,28.9,own,home_improvement,male,1
31709.03,698.4,43.79,17389.42,1.2,3,24.4,own,home_improvement,male,0
40049.36,752.6,30.51,18221.38,11.6,6,45.5,own,debt_consolidation,female,1
66538.99,577.6,41.1,27860.44,1.5,1,45.6,mortgage,auto,female,0
24807.33,701.5,23.84,13982.4,10.9,2,28.3,own,education,female,1
19842.25,729.4,30.56,35895.22,2.0,1,48.7,rent,home_improvement,male,0
50769.93,518.1,22.43,48178.97,6.2,2,30.4,rent,home_improvement,male,0
52508.92,561.3,22.83,28679.16,7.1,3,41.0,mortgage,education,female,0
65675.39,497.1,60.14,16911.97,4.3,3,47.8,own,auto,male,0
58874.35,629.8,18.61,12140.77,2.2,0,37.6,rent,home_improvement,female,1
53380.76,703.8,33.22,10388.06,1.4,1,43.5,rent,home_improvement,female,1
33463.98,762.7,15.36,4576.26,0.2,1,31.8,mortgage,home_improvement,female,1
51865.87,655.6,58.96,18571.46,2.2,4,35.6,rent,auto,male,0
53288.38,772.1,13.6,17917.55,6.4,1,35.5,own,auto,male,1
32873.41,546.5,14.53,34664.55,16.7,4,29.0,mortgage,education,female,0
99689.27,522.2,46.96,14586.68,12.3,0,35.9,own,auto,male,1
57669.26,645.8,34.71,19223.7,8.7,3,19.4,rent,auto,male,1
28619.06,678.8,22.44,25241.97,9.3,1,32.1,own,debt_consolidation,female,1
65818.24,647.5,38.07,28411.69,6.6,2,34.6,mortgage,education,female,1
70724.91,494.9,25.27,32445.87,1.8,4,34.9,own,home_improvement,male,0
56163.77,643.3,19.18,23786.65,14.3,2,35.1,mortgage,auto,male,1
41563.86,552.2,21.78,8480.6,6.7,1,37.3,rent,home_improvement,male,0
32204.42,700.2,54.7,26992.42,4.9,1,43.8,own,home_improvement,female,0
45020.82,677.5,43.2,13905.28,0.7,2,48.5,own,debt_consolidation,female,0
54431.15,579.5,33.75,41943.63,3.6,1,30.2,mortgage,auto,male,0
46948.1,611.5,28.01,21612.43,3.7,2,23.6,rent,education,male,0
85635.64,570.6,20.47,24635.62,12.0,1,25.5,mortgage,auto,female,1
61529.48,645.3,19.78,76566.84,4.7,2,32.2,own,home_improvement,male,0
30491.04,721.6,42.01,32765.92,2.9,0,33.8,rent,education,male,0
27144.89,576.1,9.46,26710.23,22.6,1,28.8,rent,auto,female,1
57884.45,687.8,6.83,19575.19,0.7,4,22.4,mortgage,home_improvement,male,1
42003.86,610.2,37.34,9003.28,3.3,3,32.5,rent,home_improvement,female,0
63852.57,590.5,18.15,18717.52,0.3,2,40.2,rent,debt_consolidation,male,1
57654.45,642.0,46.88,12039.57,8.1,2,45.1,rent,debt_consolidation,male,1
45111.0,572.4,44.18,51430.01,15.0,1,31.3,mortgage,debt_consolidation,female,0
30659.93,608.5,27.31,26915.83,2.0,5,33.0,own,home_improvement,male,0
20995.44,560.2,44.17,41095.44,11.7,0,26.9,mortgage,auto,female,0
51446.09,797.4,45.15,14317.58,2.1,2,37.6,rent,debt_consolidation,female,1
24597.07,652.6,51.43,12634.57,14.5,3,27.8,own,auto,male,0
30058.8,597.5,19.85,30972.58,8.4,1,44.9,own,debt_consolidation,male,0
50066.9,666.0,5.62,11712.73,9.8,2,18.0,mortgage,education,male,1
47935.45,641.6,5.0,16113.53,0.1,4,33.7,mortgage,education,male,1
26074.29,633.4,44.22,52781.9,19.8,3,41.6,rent,debt_consolidation,male,0
74191.06,696.1,25.63,16526.82,7.8,2,40.2,own,home_improvement,male,1
73333.69,706.8,12.01,7650.84,2.2,1,70.3,rent,debt_consolidation,male,1
58700.33,610.2,29.07,5607.53,10.6,3,42.2,own,debt_consolidation,female,1
58668.88,606.8,24.84,6964.91,2.0,2,26.0,rent,home_improvement,female,1
58700.64,629.4,27.31,42443.84,12.4,1,36.9,rent,education,female,1
189178.45,477.4,23.1,14905.52,0.7,0,18.0,rent,auto,male,1
70458.05,536.4,39.78,75242.9,7.3,0,37.0,own,debt_consolidation,male,0
62200.08,752.5,12.28,48486.39,4.7,2,28.0,rent,home_improvement,female,1
31883.46,773.4,24.43,59737.43,0.6,0,49.0,own,debt_consolidation,male,0
41735.47,631.3,16.91,37703.03,1.7,1,31.4,own,home_improvement,male,0
116653.97,693.2,36.3,30048.05,0.1,0,36.6,rent,auto,female,1
16835.17,673.3,15.94,12330.24,3.8,0,30.4,mortgage,auto,female,1
37196.15,850.0,9.8,21289.28,2.2,2,58.9,rent,education,male,1
74364.79,734.0,32.59,31785.39,5.5,2,34.1,own,home_improvement,male,1
32857.12,640.4,30.65,36405.2,2.1,4,60.0,own,home_improvement,female,0
62940.98,578.3,7.67,9624.23,2.1,4,47.8,rent,education,female,1
47658.07,529.5,47.29,18902.07,8.2,0,43.8,rent,education,female,0
33958.33,665.3,31.57,20271.32,0.3,2,42.4,rent,home_improvement,female,0
15165.3,593.3,20.63,19782.03,14.0,1,42.7,mortgage,education,female,0
50811.54,543.3,5.0,10555.71,11.5,2,18.0,own,auto,male,1
31554.55,601.5,41.69,55878.66,6.6,1,34.7,own,debt_consolidation,male,0
44231.7,568.9,30.53,18509.24,5.4,0,48.1,own,auto,female,0
58447.76,776.5,36.04,11093.75,13.4,4,37.4,rent,education,female,1
67978.81,716.1,31.97,56639.05,1.2,4,21.1,own,home_improvement,female,0
37140.22,649.4,6.04,48511.99,0.5,1,37.4,mortgage,home_improvement,male,0
33928.13,761.0,21.77,23227.3,1.6,1,58.4,rent,auto,male,1
24384.2,655.8,42.34,5566.72,9.5,3,53.0,rent,home_improvement,female,0
69435.56,585.4,8.58,15805.87,0.2,6,37.3,rent,education,female,1
109160.87,764.2,24.11,6545.92,5.2,1,49.4,own,auto,female,1
72712.44,690.4,10.68,28770.99,32.3,1,33.6,mortgage,home_improvement,female,1
79733.92,572.2,39.4,15103.45,11.6,3,18.0,rent,debt_consolidation,female,0
32987.82,635.7,25.57,20975.9,4.4,3,26.9,own,debt_consolidation,female,0
56925.84,584.3,38.41,53871.59,0.4,1,56.8,rent,education,female,0
65480.56,546.3,36.61,14393.53,10.7,2,34.7,mortgage,home_improvement,female,0
5828.49,719.5,58.16,28062.06,5.5,2,35.1,rent,education,female,0
27850.96,793.2,56.22,32987.95,0.7,1,34.4,own,auto,male,0
91559.14,545.1,8.84,41711.35,0.6,2,60.8,own,debt_consolidation,male,1
22088.26,692.2,34.46,20051.49,14.4,2,57.5,own,auto,female,1
85239.26,601.2,60.96,18781.64,6.6,2,64.6,own,home_improvement,male,0
22013.29,613.5,31.41,18509.3,10.6,2,36.1,rent,education,male,0
28512.74,605.6,64.79,26501.46,12.7,2,41.5,rent,education,male,0
57377.96,585.2,22.65,47378.85,5.1,1,19.8,rent,education,male,0
48190.86,653.6,45.32,17983.79,4.4,1,55.7,rent,auto,male,0
38828.02,587.7,59.96,2749.98,3.4,5,24.0,own,debt_consolidation,male,0
89997.38,670.3,13.62,35091.91,2.3,3,40.6,rent,auto,female,1
24708.92,646.2,23.61,22220.52,3.4,3,24.8,rent,auto,male,0
43463.93,632.1,60.47,28808.3,8.9,1,30.9,own,home_improvement,male,0
60564.41,581.9,29.2,6738.9,5.5,2,28.0,mortgage,home_improvement,male,1
53003.78,606.7,40.04,15141.34,13.4,7,30.7,own,home_improvement,female,0
34465.94,706.7,45.08,33482.76,3.5,2,31.5,rent,debt_consolidation,male,0
35057.67,687.6,18.48,8784.63,5.6,2,31.4,rent,debt_consolidation,female,1
67531.39,576.7,41.02,28025.31,6.0,3,48.0,mortgage,home_improvement,female,0
68922.66,657.4,34.97,20871.09,5.4,0,24.7,rent,home_improvement,female,1
53624.85,706.4,17.56,13103.74,7.3,2,40.6,rent,debt_consolidation,male,1
30951.43,524.8,20.53,12402.41,1.6,2,52.6,own,education,female,0
35581.24,690.8,60.86,10624.22,4.3,2,31.8,own,debt_consolidation,male,0
46216.6,600.3,14.17,22149.3,0.7,1,29.4,own,debt_consolidation,female,0
49247.39,692.8,43.59,23722.37,2.9,2,35.2,rent,debt_consolidation,female,0
59511.11,592.8,30.82,16888.76,4.0,1,52.2,rent,home_improvement,male,0
42433.66,514.6,45.5,10168.64,6.3,2,40.3,mortgage,education,male,0
66865.15,527.9,42.75,27559.85,18.0,2,31.6,rent,debt_consolidation,male,0
66538.78,653.6,27.82,35455.23,5.5,5,43.8,own,home_improvement,female,0
80930.6,669.5,18.52,30487.27,8.2,2,24.8,own,auto,male,1
47121.87,582.2,55.53,61081.48,4.2,2,46.2,own,auto,female,0
54025.58,697.9,50.32,19032.08,6.0,1,42.9,rent,debt_consolidation,male,1
43911.33,525.4,32.18,44806.96,0.4,1,34.3,rent,auto,female,0
31128.78,645.0,29.4,13958.31,1.8,0,27.9,own,education,female,0
108031.59,559.2,12.54,12503.34,2.7,0,27.4,mortgage,auto,female,1
76421.76,601.1,44.44,22976.35,3.8,2,44.4,mortgage,auto,female,0
65942.7,653.6,57.58,50375.04,0.3,4,52.7,rent,education,male,0
46402.61,585.5,12.38,17743.7,0.9,2,30.4,rent,debt_consolidation,male,0
29843.46,621.2,14.17,6735.0,1.9,5,43.5,mortgage,debt_consolidation,female,0
71060.16,725.5,18.73,35074.88,21.4,1,18.0,own,education,male,1
43561.41,606.7,19.13,20332.54,2.4,1,31.0,mortgage,education,male,1
56167.45,712.7,27.5,25479.07,3.9,2,37.6,rent,education,male,1
35517.4,565.3,25.95,12942.05,1.3,0,27.1,own,auto,male,0
